id,origin id,destiny id,directed,weight,points of interest
1,1,2,false,45,|
2,1,3,false,94.29,|
3,2,3,false,67.92,|
4,1,4,false,138.47,Armazém 14 - Itaipava|
5,2,5,false,65.47,|
6,3,5,false,57.18,|
7,5,6,false,17.94,Livraria Jaqueira|
8,4,7,false,38.71,|
9,4,8,false,47.83,|
10,7,8,false,32.72,|
11,3,9,false,70.04,|
12,9,10,false,71.00,|
13,10,11,false,7.19,|
14,7,13,false,33.21,|
15,13,12,false,10.49,|
16,11,12,false,50.00,|
17,8,14,false,38.17,Cais do Porto|
18,13,14,false,55.79,|
19,14,20,false,59.12,Armazém 13 - Accenture|
20,14,19,false,45.87,|
21,19,20,false,42.24,|
22,20,30,false,115.60,|
23,30,38,false,36.36,Armazém 12 - Accenture|Praça do Marco Zero|
24,35,36,false,17.09,|
25,34,35,false,18.44,|
26,33,34,false,70.27,|
27,32,33,false,89.67,Centro Cultural dos Correios|
28,25,32,false,30.77,|
29,25,26,false,89.09,|
30,26,32,false,40.58,|
31,26,27,false,26.01,|
32,27,33,false,48.43,|
33,27,28,false,42.92,|
34,28,29,false,36.28,|
35,29,34,false,47.81,|
36,29,30,false,83.76,|
37,24,29,false,35.56,|
38,23,24,false,33.43,|
39,23,28,false,34.87,|
40,22,23,false,45.21,|
41,22,27,false,38.66,|
42,21,22,false,76.01,|
43,21,26,false,33.41,|
44,16,21,false,17.25,|
45,15,16,false,78.79,|
46,9,15,false,78.20,Paço Alfândega|Pernambuco - Coração do Nordeste|
47,16,17,false,29.40,|
48,17,18,false,72.06,Galeria Arte Plural|Monumento a Chico Science|
49,11,17,false,39.11,|
50,18,19,false,48.68,|
51,18,22,false,35.56,|
52,19,23,false,34.46,|
53,20,24,false,44.66,|
54,12,18,false,37.09,Monumento a Chico Science|
55,6,10,false,32.29,Livraria Jaqueira|
56,37,38,false,17.53,|
57,31,32,false,36.92,|
58,36,37,false,68.68,|
59,38,49,false,27.23,Praça do Marco Zero|
60,37,48,false,26.64,|
61,48,49,false,14.20,|
62,47,48,false,35.53,|
63,36,47,false,65.49,|
64,46,47,false,71.80,|
65,35,42,false,46.38,|
66,42,46,false,31.36,|
67,56,57,false,40.24,|
68,49,57,false,32.50,Praça do Marco Zero|
69,47,56,false,47.09,CESAR School|
70,56,55,false,36.37,|
71,45,46,false,70.91,|
72,50,53,false,32.51,|
73,45,50,false,51.77,|
74,53,54,false,54.17,|
75,46,51,false,30.65,|
76,54,55,false,40.65,|
77,41,45,false,67.36,|
78,45,46,false,77.50,|
79,33,40,false,41.40,|
80,34,41,false,43.60,|
81,32,39,false,46.20,|
82,39,40,false,81.33,Porto Digital|
83,50,51,false,56.81,|
84,44,45,false,69.62,|
85,43,44,false,227.23,|
86,39,44,false,118.40,Porto Digital|
87,40,44,false,99.38,|
88,54,55,false,41.43,|
89,52,53,false,92.87,|
90,45,50,false,48.78,|
91,44,52,false,115.01,|
92,57,63,false,152.13,Praça do Marco Zero|Centro de Artesanato de Pernambuco|Cais da Lingueta|
93,56,62,false,142.72,Sinagoga Kahal Zur Israel|Embaixada de Pernambuco - Bonecos Gigantes de Olinda|Feira de Artesanato|
94,55,61,false,135.15,|
95,54,60,false,128.25,|
96,53,59,false,127.86,|
97,52,58,false,116.42,Pitang|
98,58,59,false,91.87,|
99,59,60,false,50.12,|
100,60,61,false,35.16,Praça do Arsenal|Paço do Frevo|
101,61,62,false,29.43,Praça do Arsenal|
102,62,63,false,44.29,|
103,63,71,false,54.11,|
104,62,70,false,53.45,Praça do Arsenal|Secretaria de Justiça e Direitos Humanos|
105,60,68,false,68.39,Praça do Arsenal|Teatro Mamulengo|
106,59,67,false,58.88,|
107,58,64,false,31.19,|
108,65,67,false,16.40,|
109,68,69,false,55.70,Praça do Arsenal|
110,69,70,false,27.59,Praça do Arsenal|
111,70,71,false,47.23,|
112,69,70,false,29.34,Torre Malakoff|
113,71,73,false,49.54,|
114,72,73,false,40.07,|
115,67,68,false,36.41,|
116,69,72,false,26.30,|
117,73,78,false,116.09,Cais do Sertão|
118,72,77,false,119.99,Capitania dos Portos|Secretaria de Ciência; Tecnologia e Inovação do Estado de Pernambuco|Delegacia da Receita Federal do Brasil em Recife|Superintendência de Administração do Ministério da Fazenda|
119,65,75,false,156.00,|
120,64,74,false,155.44,Polícia Federal - Superintendência Regional de Pernambuco|CESAR School|
121,74,75,false,89.24,Praça Tiradentes|
122,75,76,false,95.63,Casarão das Artes|
123,76,77,false,43.62,|
124,77,78,false,62.68,|
125,78,84,false,120.12,Armazém 9 - Accenture|
126,77,83,false,123.97,|
127,76,81,false,76.23,|
128,75,80,false,75.57,Praça Tiradentes|
129,74,79,false,72.04,Tribunal Regional Federal da 5° Região|Praça Tiradentes|
130,79,80,false,83.72,CESAR|Praça Tiradentes|
131,80,81,false,93.42,|
132,81,82,false,36.53,|
133,82,83,false,54.67,|
134,83,84,false,74.84,|
135,84,98,false,124.74,|
136,83,87,false,54.19,|
137,82,86,false,46.71,|
138,80,85,false,78.38,|
139,79,88,false,139.07,|
140,88,89,false,87.81,|
141,85,89,false,70.62,|
142,85,86,false,97.88,|
143,86,87,false,54.94,|
144,86,90,false,65.24,|
145,90,91,false,62.89,|
146,98,99,false,80.89,|
147,86,90,false,67.90,|
148,87,91,false,66.03,|
149,90,92,false,64.47,|
