id,origin id,destiny id,directed,weight,points of interest
1,0,1,false,99.34,
2,1,2,false,193.49,Universidade Católica de Pernambuco - UNICAP
3,2,3,false,111.82,
4,3,4,false,77.50,
5,4,5,false,81.17,
6,5,6,false,244.64,Hospital Militar do Recife
7,6,7,false,152.01,Parque Treze de Maio
8,7,8,false,72.43,Parque Treze de Maio
9,8,9,false,77.97,
10,9,10,false,80.92,
11,10,11,false,168.07,
12,0,12,false,155.52,
13,12,13,false,347.39,
14,13,14,false,24.10,
15,14,15,false,16.22,
16,14,18,false,185.01,
17,15,16,false,82.05,
18,16,17,false,76.12,
19,17,18,false,114.96,
20,17,19,false,256.85,
21,6,19,false,161.15,Hospital Militar do Recife
22,7,20,false,173.11,
23,8,21,false,172.41,
24,9,22,false,169.70,
25,10,23,false,168.60,
26,3,15,false,117.01,
27,4,16,false,126.52,
28,5,17,false,124.40,
29,19,20,false,122.08,
30,20,21,false,72.12,
31,21,22,false,71.12,
32,22,23,false,79.01,
33,12,24,false,149.94,
34,24,25,false,306.43,
35,25,26,false,142.85,Shopping Boa Vista
36,18,26,false,52.47,
37,26,27,false,295.37,
38,19,27,false,195.00,
39,27,28,false,78.21,
40,20,28,false,175.04,
41,28,29,false,76.74,
42,21,29,false,172.67,
43,29,30,false,75.05,
44,22,30,false,170.05,
45,30,31,false,76.08,
46,23,31,false,159.64,
47,31,32,false,155.01,
48,11,32,false,320.80,
49,30,33,false,43.45,
50,33,34,false,75.19,
51,33,35,false,28.28,
52,31,34,false,51.66,Cinema São Luiz
53,34,36,false,27.05,
54,35,36,false,73.25,
55,24,37,false,142.85,
56,37,38,false,243.00,
57,25,38,false,123.35,Shopping Boa Vista
58,38,39,false,132.39,
59,26,39,false,122.06,
60,39,43,false,78.20,
61,38,42,false,75.29,
62,40,44,false,66.34,
63,37,41,false,76.94,
64,40,45,false,180.64,
65,44,45,false,154.47,
66,45,51,false,36.72,
67,45,52,false,89.81,
68,52,53,false,102.02,
69,44,50,false,71.82,
70,50,49,false,42.28,
71,43,48,false,115.47,
72,27,53,false,142.15,
73,53,54,false,113.84,
74,28,54,false,136.53,
75,52,55,false,169.33,
76,54,55,false,70.79,
77,55,56,false,154.32,
78,56,57,false,182.86,
79,43,44,false,44.07,
80,50,51,false,162.70,
81,48,49,false,31.44,
82,51,52,false,85.87,
83,32,57,false,140.99,
84,41,42,false,215.45,
85,42,43,false,127.22,
86,47,48,false,123.71,
87,42,47,false,100.38,
88,46,47,false,172.42,
89,41,46,false,90.51,
